ID,Name,Description,Concepticon_ID
239,flower,,239
1485,below,,1485
1726,wet,,1726
1213,you,,1213
1100,to cook,,1100
1515,Ten,,1515
1531,branch,,1531
1277,hand,,1277
1482,shoulder,,1482
379,"dull, blunt",,379
1202,big,,1202
1333,neck,,1333
1200,husband,,1200
1035,good,,1035
1409,to see,,1409
1257,wing,,1257
1355,to laugh,,1355
1212,we,,1212
1225,day,,1225
2003,to flow,,2003
1247,ear,,1247
1403,to bite,,1403
1230,dirty,,1230
1435,to hunt,,1435
1292,"bad, evil",,1292
1231,new,,1231
249,fog,,249
946,blood,,946
1172,to shoot,,1172
843,spider,,843
2098,leg/foot,,2098
1246,small,,1246
1489,cloud,,1489
1406,far,,1406
1425,green,,1425
420,woods/forest,,420
602,to hide,,602
2103,"painful, sick",,2103
1228,earth/soil,,1228
1920,to dream,,1920
1335,white,,1335
1398,dry,,1398
1214,this,,1214
1402,breast,,1402
1704,Seven,,1704
1446,to come,,1446
1498,Two,,1498
674,mouth,,674
163,black,,163
1414,to squeeze,,1414
1410,"to know, be knowledgeable",,1410
1728,rotten,,1728
1028,to yawn,,1028
2457,road/path,,2457
2099,child,,2099
1094,"to tie up, fasten",,1094
948,water,,948
1654,lightning,,1654
321,to chew,,321
1430,star,,1430
227,fish,,227
1459,if,,1459
1215,thou,,1215
1441,to fly,,1441
1433,to hit,,1433
1280,to fall,,1280
778,smoke,,778
1725,"correct, true",,1725
1210,heavy,,1210
1500,Four,,1500
1407,to breathe,,1407
1287,cold,,1287
1226,year,,1226
1236,what?,,1236
1573,to swell,,1573
1244,thick,,1244
960,wind,,960
1232,warm,,1232
1457,to sew,,1457
763,skin,,763
1486,to plant,,1486
197,other,,197
1251,belly,,1251
670,root,,670
156,red,,156
1235,who?,,1235
1086,to work,,1086
1401,to drink,,1401
1437,to split,,1437
1634,One Hundred,,1634
1443,to walk,,1443
1839,to cry,,1839
487,"shy, ashamed",,487
1252,house,,1252
1217,father,,1217
1221,nose,,1221
2,dust,,2
1382,needle,,1382
2009,dog,,2009
1588,to turn,,1588
1237,where?,,1237
857,stone,,857
1460,"in, inside",,1460
1456,to throw,,1456
2642,he/she,,2642
2102,to burn,,2102
1490,rat,,1490
1420,to count,,1420
1419,to fear,,1419
1216,mother,,1216
1229,old,,1229
606,grass,,606
713,to steal,,713
1274,salt,,1274
1474,sea,,1474
1577,and,,1577
1239,how?,,1239
658,rain,,658
1421,to suck,,1421
1509,mosquito,,1509
479,to grow,,479
1313,moon,,1313
817,they,,817
1199,wife,,1199
1448,to hold,,1448
1645,short,,1645
937,bird,,937
1209,I,,1209
1507,fruit,,1507
215,to lie down,,215
98,all,,98
2101,"to die, be dead",,2101
1218,rope,,1218
1150,thunder,,1150
1336,to eat,,1336
1705,Eight,,1705
1267,narrow,,1267
493,Five,,493
2271,to think,,2271
1392,louse,,1392
1256,head,,1256
730,snake,,730
1710,Twenty,,1710
1424,yellow,,1424
1248,eye,,1248
1238,when?,,1238
1291,back,,1291
1458,to say,,1458
1461,at,,1461
1493,One,,1493
1408,to hear,,1408
1219,worm (earthworm),,1219
1380,tooth,,1380
1732,sky,,1732
323,fat/grease,,323
624,lake,,624
1942,near,,1942
1203,long,,1203
1405,name,,1405
1220,tail,,1220
1432,"to cut, hack",,1432
221,fire,,221
1585,to sleep,,1585
683,person/human being,,683
1295,stick/wood,,1295
1586,"to sniff, smell",,1586
2615,meat/flesh,,2615
1418,to dig,,1418
1243,wide,,1243
1439,to swim,,1439
354,"to pound, beat",,354
1440,to spit,,1440
1417,to kill,,1417
1233,night,,1233
646,ash,,646
2105,woman/female,,2105
1396,sharp,,1396
1019,right,,1019
175,to blow,,175
1278,to vomit,,1278
1102,to climb,,1102
671,sand,,671
1741,above,,1741
1843,One Thousand,,1843
2308,thin,,2308
1040,hair,,1040
744,egg,,744
1869,to buy,,1869
1436,to scratch,,1436
1442,to stand,,1442
1201,feather,,1201
2106,man/male,,2106
2279,"no, not",,2279
1156,"to open, uncover",,1156
1750,to choose,,1750
1422,"to live, be alive",,1422
1205,tongue,,1205
1416,to sit,,1416
78,that,,78
628,leaf,,628
1483,Nine,,1483
1224,liver,,1224
2100,thatch/roof,,2100
1434,"to stab, pierce",,1434
1703,Six,,1703
1717,Fifty,,1717
492,Three,,492
1991,intestines,,1991
1394,bone,,1394
244,left,,244
